Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Sales,Month,City,Hours,minute,second,Grouped
176560,Google Phone,1,600.0,2019-04-12 14:38:00,"669 Spruce St, Los Angeles, CA 90001",600.0,4,Los Angeles,14,38,0,"Google Phone , Wired Headphones"
176560,Wired Headphones,1,11.99,2019-04-12 14:38:00,"669 Spruce St, Los Angeles, CA 90001",11.99,4,Los Angeles,14,38,0,"Google Phone , Wired Headphones"
176574,Google Phone,1,600.0,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",600.0,4,Los Angeles,19,42,0,"Google Phone , USB-C Charging Cable"
176574,USB-C Charging Cable,1,11.95,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",11.95,4,Los Angeles,19,42,0,"Google Phone , USB-C Charging Cable"
176586,AAA Batteries (4-pack),2,2.99,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",5.98,4,San Francisco,17,0,0,"AAA Batteries (4-pack) , Google Phone"
176586,Google Phone,1,600.0,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",600.0,4,San Francisco,17,0,0,"AAA Batteries (4-pack) , Google Phone"
176672,Lightning Charging Cable,1,14.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",14.95,4,New York City,11,7,0,"Lightning Charging Cable , USB-C Charging Cable"
176672,USB-C Charging Cable,1,11.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",11.95,4,New York City,11,7,0,"Lightning Charging Cable , USB-C Charging Cable"
176681,Apple Airpods Headphones,1,150.0,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",150.0,4,Seattle,10,39,0,"Apple Airpods Headphones , ThinkPad Laptop"
176681,ThinkPad Laptop,1,999.99,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",999.99,4,Seattle,10,39,0,"Apple Airpods Headphones , ThinkPad Laptop"
176689,Bose SoundSport Headphones,1,99.99,2019-04-24 17:15:00,"659 Lincoln St, New York City, NY 10001",99.99,4,New York City,17,15,0,"Bose SoundSport Headphones , AAA Batteries (4-pack)"
